Abbriviations,Name of IL,Liquid Liquid Equilibrium System, Distribution Coefﬁcients , Selectivities,Molecular Mass,Density,Viscosity,Melting Point (C),Melting Point,Refractive index,Conductivity
 sulfolane , sulfolane ,Toluene/n-Heptane ,0.31,30.9,120.17,1.26,0.01034,27.5,300.5,1.481,1.32
 [mmim][Tf2N] ,"1,3-Dimethylimidazolium  bis(trifluoromethylsulfonyl)imide ",Toluene/n-Heptane ,0.5,29.8,377.28,1.57,0.0035,22,295,1.429,0.411
 [emim]BF4 ,1-Ethyl-3-methylimidazolium tetrafluoroborate,Toluene/n-Heptane ,0.3,34.1,197.97,1.294,0.0338,15,288,1.413,1.41
 [emim]CH3SO3 ,1-ethyl-3-methylimidazolium methylsulfonate ,Toluene/n-Heptane ,0.44,25.4,206.27,1.24,0.135,33,306,1.497,0.369
 [emim]C2H5SO4 ,1-ethyl-3-methylimidazolium ethylsulfonate ,Toluene/n-Heptane ,0.22,50.5,236.29,1.24,0.0942,25,298,1.481,0.556
 [emim]CH3C6H4SO3 ,1-ethyl-3-methylimidazolium tosylate,Toluene/n-Heptane ,0.36,28,282.36,1.231,0.0542,30,303,1.548,0.019
 [emim][Tf2N] ,1-ethyl-3-methylimidazolium bis(triﬂuoromethylsulfonyl)imide,Toluene/n-Heptane ,0.83,27.7,391.31,1.52,0.0042,-15,258,1.424,
 [emim]I3 ,1-ethyl-3-methylimidazolium iodide,Toluene/n-Heptane ,0.84,48.6,238.07,1.47,0.047,79,352,1.56,0.296
[emim]N(CN)2 ,1-ethyl-3-methylimidazolium dicyanamide ,Toluene/n-Heptane ,0.24,43.4,177.21,1.11,0.01454,268,541,1.5112,1.77
[emim]SCN ,1-ethyl-3-methylimidazolium thiocyanate ,Toluene/n-Heptane ,0.27,147.3,169.25,1.304,0.0247,-6,267,1.484,1.78
 [emmim][Tf2N] ,"1-ethyl-2,3-dimethylimidazolium bis(triﬂuoromethylsulfonyl)imide",Toluene/n-Heptane ,0.61,22.7,405.3,1.49,0.0685,25,298,1.43,0.318
[bmim]BF4 ,1-butyl-3-methylimidazolium tetraﬂuoroborate ,Toluene/n-Heptane ,0.34,46.1,226.02,1.21,0.28,-8,265,1.52,0.315
 [bmim]PF6 ,1-butyl-3-methylimidazolium hexafluorophosphate,Toluene/n-Heptane ,0.34,21.3,284.18,1.38,0.267,-8,265,1.411,0.192
 [bmim]CH3SO4 ,1-butyl-3-methylimidazolium methylsulfonate ,Toluene/n-Heptane ,0.33,31.2,250.32,1.213,0.213,77.5,350.5,1.563,0.002
 [bmim]CF3SO3 ,1-Butyl-3-methylimidazolium trifluoromethanesulfonate,Toluene/n-Heptane ,0.43,20.2,288.29,1.3,0.08,16,289,1.434,0.305
[bmim]N(CN)2 ,1-butyl-3-methylimidazolium dicyanamide,Toluene/n-Heptane ,0.63,59,205.26,1.06,0.0334,-6,267,1.508,0.954
[bmim]C(CN)3 ,1-butyl-3-methylimidazolium tricyanomethane,Toluene/n-Heptane ,0.85,49.3,229.28,1.05,0.0257,,273,1.51,0.883
[bmim]SCN ,1-butyl-3-methylimidazolium thiocyanate ,Toluene/n-Heptane ,0.5,65.8,197.3,1.07,0.0359,,273,1.538,0.898
 [bmim]Cl-1.0AlCl3,1-butyl-3-methylimidazolium chloride-aluminum chloride,Toluene/n-Heptane ,1.57,35.7,174.67,1.12,0.013,70,343,1.488,0.788
 [C10H17O2mim]Br,(n-methacryloyloxyhexyl-N-methylimidazolium bromide,Toluene/n-Heptane ,0.3,43.1,219.12,1.03,0.036,45,318,1.501,0.699
