b (mm),h (mm),Ast top  d (mm)       ρ1 (%)         As2 (mm2)  d2 (mm)     ρ2 (%),top bar dia,% steel at top,Ast bottom,bottom bar dia,% steel at bottom,RH,T (C), Concrete Strength test at t day,Concrete Strength after t days in Mpa,L (mm),L/d,Mll (Nm),Kll,Mdl(Nm) ,Kdl,Age at loading (t0 days) ,Reading day,Total age (t days),"Long term deflection in
(mm) after t days          "
203.2,304.8,852,257.2,1.63,852,47.6,1.63,50,21,14,25,6096,23.7,7192,0.104,18442,0.104,14,0,14,13.46
203.2,304.8,852,257.2,1.63,852,47.6,1.63,50,21,14,25,6096,23.7,7192,0.104,18442,0.104,14,913,927,23.62
203.2,304.8,852,257.2,1.63,400,46.1,0.77,50,21,14,25,6096,23.7,7192,0.104,18442,0.104,14,0,14,15.75
203.2,304.8,852,257.2,1.63,400,46.1,0.77,50,21,14,25,6096,23.7,7192,0.104,18442,0.104,14,913,927,32.26
203.2,304.8,852,257.2,1.63,0,0,0,50,21,14,25,6096,23.7,7192,0.104,18442,0.104,14,0,14,17.02
203.2,304.8,852,257.2,1.63,0,0,0,50,21,14,25,6096,23.7,7192,0.104,18442,0.104,14,913,927,44.7
152.4,203.2,400,157.2,1.67,400,46,1.67,50,21,14,20.8,6096,38.8,3596,0.104,3663,0.104,14,0,14,23.37
152.4,203.2,400,157.2,1.67,400,46,1.67,50,21,14,20.8,6096,38.8,3596,0.104,3663,0.104,14,913,927,51.05
152.4,203.2,400,157.2,1.67,200,46,0.84,50,21,14,20.8,6096,38.8,3596,0.104,3663,0.104,14,0,14,24.89
152.4,203.2,400,157.2,1.67,200,46,0.84,50,21,14,20.8,6096,38.8,3596,0.104,3663,0.104,14,913,927,65.02
152.4,203.2,400,157.2,1.67,0,0,0,50,21,14,20.8,6096,38.8,3596,0.104,3663,0.104,14,0,14,26.42
152.4,203.2,400,157.2,1.67,0,0,0,50,21,14,20.8,6096,38.8,3596,0.104,3663,0.104,14,913,927,86.36
304.8,127,516,101.6,1.67,516,25.4,1.67,50,21,14,22.1,3810,37.5,1756,0.104,4267,0.104,14,0,14,11.94
304.8,127,516,101.6,1.67,516,25.4,1.67,50,21,14,22.1,3810,37.5,1756,0.104,4267,0.104,14,913,927,27.69
304.8,127,516,101.6,1.67,258,25.4,0.83,50,21,14,22.1,3810,37.5,1756,0.104,4267,0.104,14,0,14,14.22
304.8,127,516,101.6,1.67,258,25.4,0.83,50,21,14,22.1,3810,37.5,1756,0.104,4267,0.104,14,913,927,33.78
304.8,127,516,101.6,1.67,0,0,0,50,21,14,22.1,3810,37.5,1756,0.104,4267,0.104,14,0,14,17.78
304.8,127,516,101.6,1.67,0,0,0,50,21,14,22.1,3810,37.5,1756,0.104,4267,0.104,14,913,927,48.51
152,305,849,254,2.2,0,0,0,50,21,28,26.9,3048,12,1346,0.104,22267,0.107,28,0,28,4.25
152,305,849,254,2.2,0,0,0,50,21,28,26.9,3048,12,1346,0.104,22267,0.107,28,242,270,10
152,305,1019,254,2.64,0,0,0,50,21,28,37.4,3048,12,1346,0.104,29641,0.107,28,0,28,4.9
152,305,1019,254,2.64,0,0,0,50,21,28,37.4,3048,12,1346,0.104,29641,0.107,28,242,270,9.9
100,160,100,134,0.75,0,0,0,55,21,32,26.7,4000,29.9,800,0.104,1962,0.104,32,0,32,15.83
100,160,100,134,0.75,0,0,0,55,21,32,26.7,4000,29.9,800,0.104,1962,0.104,32,84,116,32.21
127,190.5,142,160.3,0.7,0,0,0,82,21,35,37,6400,39.9,3097,0.104,1612,0.104,53,0,53,20.6
127,190.5,142,160.3,0.7,0,0,0,82,21,35,37,6400,39.9,3097,0.104,1612,0.104,53,1734,1787,65.4
127,190.5,142,160.3,0.7,0,0,0,82,21,35,37,4800,29.9,1742,0.104,2967,0.104,53,0,53,8.8
127,190.5,142,160.3,0.7,0,0,0,82,21,35,37,4800,29.9,1742,0.104,2967,0.104,53,1734,1787,29.7
