,Axe 1,Axe 2
Type de projet__Commercial,-0.619423960107029,-0.33550357692780075
Type de projet__Industriel,0.3789582779808087,-0.3856881370571254
Type de projet__Infrastructure,1.666109246625202,0.902929778431035
Type de projet__Résidentiel,-1.0340374695790011,1.3293732553060917
Statut du projet__En cours,0.05572449478146429,0.3456902289878727
Statut du projet__Retardé,-0.3296195202885856,0.03503016671726445
Statut du projet__Suspendu,0.03322588330330745,-0.6545214388528038
Statut du projet__Terminé,0.08208436503549288,-0.32008379335415604
Type de client__Privé,-0.481229854595614,-0.15760228630569714
Type de client__Public,1.1069874873041023,0.36253727245897976
Certification environnementale__Aucune,-0.28682202907314575,0.28984202930254194
Certification environnementale__HQE,0.060393044424465366,-0.01567498583465977
Certification environnementale__ISO 14001,0.2727548525681432,-0.3901069704671548
Certification environnementale__LEED,0.3375675072383438,-0.1608398231121741
Type de matériau principal__Acier,0.6985358685743659,-0.45967641481940275
Type de matériau principal__Bois,-1.0926182831250382,1.4149485898146135
Type de matériau principal__Béton,0.16405809170976268,0.3151855604991287
Type de matériau principal__Mixte,-0.6007976717923604,-0.45470789937332123
Région__Casablanca-Settat,0.0005358904312883148,0.7257318365481018
Région__Fès-Meknès,0.08807018158170349,-0.7751171822952532
Région__Marrakech-Safi,0.01740701712322192,-0.5318333447777243
Région__Rabat-Salé-Kénitra,0.2345472432131967,-0.10669491247740537
Région__Souss-Massa,-0.14584533165145708,-0.17518480486167354
Région__Tanger-Tétouan-Al Hoceïma,-0.24806352803706044,0.17116403881621184
