,"('Projet', 'Coût estimé')","('Projet', 'Coût réel')","('Projet', 'Durée du projet (en jours)')","('Projet', 'Avancement (%)')","('Ressources', 'Quantité des matériaux (kg, m3)')","('Ressources', 'Heures de travail')","('Ressources', 'Nombre d’équipements utilisés')","('Ressources', 'Consommation énergétique (kWh)')","('Caractéristiques bâtiment', 'Surface totale (m²)')","('Caractéristiques bâtiment', 'Nombre d’étages')","('Caractéristiques bâtiment', 'Volume (m3)')","('Caractéristiques bâtiment', 'Hauteur (m)')","('Caractéristiques bâtiment', 'Indice de performance énergétique')","('Caractéristiques bâtiment', 'Consommation énergétique annuelle (kWh)')","('Qualité / Sécurité', 'Nombre d’incidents')","('Qualité / Sécurité', 'Nombre d’accidents')","('Environnement', 'Volume déchets produits (kg)')","('Environnement', 'Émissions CO2 (kg)')","('Environnement', 'Consommation d’eau (m3)')","('Environnement', 'Niveau sonore (dB)')","('Données complémentaires', 'Note satisfaction client (sur une échelle quantitative)')"
"('Projet', 'Coût estimé')",1.0,0.9616325139779596,-0.02807999431116512,-0.011299722270952998,0.017194867584744943,-0.0019151718612004027,-0.03514159911491637,-0.031204498263278833,0.009469004591631355,-0.00952184223939767,0.03323167715733442,0.025781611840506195,-0.04045752495138977,-0.004982100959935642,0.029272547621447743,-0.020201777895092865,0.012290991175923345,0.021838855268340868,-0.00035534571626526554,0.006425173781670218,-0.0053362030577880715
"('Projet', 'Coût réel')",0.9616325139779596,0.9999999999999998,-0.038201033374669596,-0.008935683983263448,0.017819359233995233,-0.010757628909688101,-0.035034280972634016,-0.022896216537968302,-0.0087546960155418,0.0009923197456762323,0.020447376616754494,0.013310831448994117,-0.027527659615471878,0.006477246888468557,0.029268009101300025,-0.010042563410817416,0.006235402091060758,0.020788422910477174,-0.010034852685223476,0.0108479600168843,-0.010036032016974084
"('Projet', 'Durée du projet (en jours)')",-0.02807999431116512,-0.038201033374669596,0.9999999999999998,0.011040968073558368,-0.036482940544108576,-0.016592857044821264,0.04148259135633047,-0.06447020792574759,0.03934846706760061,-0.004430201071812399,-0.002568195129075322,0.03997344423749555,-0.052389012152170525,-0.03227339954768532,-0.036108869246684654,-0.014692083158727425,0.03503359534566416,-0.011668699730540891,-0.007768318852228254,-0.081290865272521,-0.012305713886428354
"('Projet', 'Avancement (%)')",-0.011299722270952998,-0.008935683983263448,0.011040968073558368,1.0,-0.042447540293928984,0.005703515168178005,0.03168261598355281,-0.027363513555400548,0.00401910539795961,0.00852521096707815,0.003303738774734317,0.00221188965508355,-0.03353042145433041,0.01295038470736257,0.003338118425540753,0.007298126457134998,0.004339866492857613,0.029713611681455376,0.0013963797000137743,-0.00622927630764152,0.06533217373209109
"('Ressources', 'Quantité des matériaux (kg, m3)')",0.017194867584744943,0.017819359233995233,-0.036482940544108576,-0.042447540293928984,0.9999999999999998,0.002654774418046914,0.007576694429426331,0.0055367254488407625,-0.010519517506471987,-0.02354367515174077,0.029174022044458715,0.02167916448545732,0.0088462505927113,-0.058286361910266184,0.04000093727348998,-0.014358952658445626,-0.021019993332062843,0.0657420912815634,0.02350011511849983,0.02025525748834731,-0.02917968790587138
"('Ressources', 'Heures de travail')",-0.0019151718612004027,-0.010757628909688101,-0.016592857044821264,0.005703515168178005,0.002654774418046914,0.9999999999999998,0.02769078847154475,0.07315258408898422,-0.03627898222902772,0.017794331124530837,0.0005548372904709104,-0.011056304782338652,-0.019088134720095275,0.022350093937407278,-0.007547414690148822,-0.007029602410960518,0.02377557786652336,-0.019197192411832906,0.06843334133435723,0.026913198523795652,0.022386874759379723
"('Ressources', 'Nombre d’équipements utilisés')",-0.03514159911491637,-0.035034280972634016,0.04148259135633047,0.03168261598355281,0.007576694429426331,0.02769078847154475,0.9999999999999998,-0.034052202492511924,0.04581162792812794,0.02616192668418734,0.0889232823454113,0.005956174233280863,-0.06194708958027144,-0.0015095603437469505,-0.06264310654700102,-0.03243548352304846,0.00830600830588608,0.020718482074041044,-0.014253912016293757,-0.03257244864610081,-0.008932967693291653
"('Ressources', 'Consommation énergétique (kWh)')",-0.031204498263278833,-0.022896216537968302,-0.06447020792574759,-0.027363513555400548,0.0055367254488407625,0.07315258408898422,-0.034052202492511924,0.9999999999999998,0.01194457625026048,0.01143646960226455,-0.0328155977732849,-0.014212770570513072,0.002097760508999256,0.013847375650577027,-0.020429192904735122,0.0029136313547808764,-0.05029518663497107,0.011553798630890497,-0.011828851629265983,0.028774250543104635,-0.021454302726435084
"('Caractéristiques bâtiment', 'Surface totale (m²)')",0.009469004591631355,-0.0087546960155418,0.03934846706760061,0.00401910539795961,-0.010519517506471987,-0.03627898222902772,0.04581162792812794,0.01194457625026048,0.9999999999999998,-0.01267568339441507,0.02808153879664138,-0.0011513554663143011,-0.032748973153950124,0.041943193637523316,-0.04927267940334059,-0.02769215993041693,-0.011171857379194244,-0.03480543614056822,-0.07034004536843519,-0.015490705677951074,-0.0004074971827271834
"('Caractéristiques bâtiment', 'Nombre d’étages')",-0.00952184223939767,0.0009923197456762323,-0.004430201071812398,0.00852521096707815,-0.023543675151740773,0.017794331124530837,0.026161926684187344,0.01143646960226455,-0.01267568339441507,1.0,0.01474667431649475,-0.014908662975362114,0.04514833181074292,-0.04865248349108362,0.02095586067397024,0.057576258783164115,-0.013857724775257268,0.06577618916002453,0.04890401285727425,0.047766867188264325,0.014699223192290296
