,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Component_13,Component_14,Component_15,Component_16,Component_17,Component_18,Component_19,Component_20,Component_21
Projet - Coût estimé,0.9745463044239597,0.0006017962538607941,1.8899833034272185e-05,3.719487661706522e-05,2.1963461808423055e-05,0.00012489579988693203,0.002968131786556856,1.9453383216008746e-05,0.0013038302852100556,0.0009018148557258848,0.0002191853238641012,0.0001672020320778144,1.657293032118371e-05,1.116853239532512e-05,8.576868832502058e-05,0.0002139901794880773,0.0005655126054762376,3.4070782046497355e-05,0.0002104328953637899,0.00012885496825496202,0.01880395710351333
Projet - Coût réel,0.972692144141594,6.394433778124056e-05,0.00022173538956904467,5.108824462304503e-06,6.523090370620759e-05,1.931685125424743e-05,0.00444685368046688,9.724223552045072e-05,0.000578064621122638,0.0006732539936697213,3.7965097996501545e-05,0.000282240947018881,1.7631778669745115e-06,0.00014217082388886138,1.829869087795721e-05,0.000802997686724731,0.001066046498762567,5.704849887281356e-05,0.0009223688402134833,5.142102078574023e-05,0.018755784738845715
Projet - Durée du projet (en jours),0.004506828914596008,0.1947575218147398,0.028337165903807495,2.8576285069809855e-06,0.05238689991332912,0.006782595098867401,0.010411347757536547,0.0184403674976329,0.10654999802981473,0.05146087557681159,0.024322624020747932,0.03388930780767617,0.07803469452964518,0.09796478144055065,0.005195901139070926,0.0017022724182806101,0.059486984907866504,0.19161801055847058,0.033206358497292025,0.0019425759412241808,1.0316045336561558e-06
Projet - Avancement (%),0.00046285664342594294,0.01345823338396081,0.01992288146853051,0.18544080067088822,0.0003973687012407966,0.0026209159275586715,0.06904741807518022,0.0037518139043073192,0.0029207804326957542,0.33845271516618963,0.014745409023968589,0.0038441477777298345,0.07357823783606313,0.0649494291700091,0.07860041673262114,0.07310700095217529,0.03988575667687629,0.00014133796847869015,1.2804772996327012e-05,0.0156604426201844,2.3309591991666404e-07
"Ressources - Quantité des matériaux (kg, m3)",0.0021483739967835805,0.024145194679921007,0.011913890668663916,0.05066672074137097,0.057960384472306316,0.05033420481433951,0.34029389968017343,0.004470817398192926,0.0487922958333083,0.03943028867796261,0.020357670507088574,0.016750931540841237,0.007319775321895629,0.0706374579872824,0.005265249124481862,0.10798786809067157,0.018431129701573633,2.3352113837662654e-05,0.09819942095773966,0.025871978703743474,9.598882157572207e-08
Ressources - Heures de travail,0.000301136662855795,0.0364999773515674,0.013460472508423907,0.013763408773161852,0.0827530947006638,0.21112289282800856,0.01258018221653698,0.15751901946336758,0.07409081994815755,0.00409936974518729,0.06309104017649926,0.011251759220540194,0.0005796954490735181,0.0016643757352049577,0.00028488598004789323,0.08850980190313586,0.08727558523542268,0.07179122212895417,0.07035570097147699,4.584871240588451e-06,1.9751314750724695e-06
Ressources - Nombre d’équipements utilisés,0.004484109607769127,0.1137472489309099,0.12423257481170277,0.03292128688133787,0.08375341910031409,0.020487545484124653,0.012264452591725416,0.04764077625855741,0.05567324194479509,0.012622304898047243,0.0007373690866675652,0.011409213256521281,0.02891713730512216,0.21398411226761296,0.0032745825338720965,0.04386757784535808,0.054049475764498395,0.018752508712603116,0.028188680299464045,0.08999310256933418,2.808506640088338e-07
Ressources - Consommation énergétique (kWh),0.00271559280847146,0.05044009068285796,0.07515459215676039,0.020429120789927188,0.1823483251139426,0.09488471632406428,0.021003455882736256,0.004233950878459286,0.0034514876381150266,0.013974663197194257,0.051688850961931106,0.041368117959980855,0.08688420030209507,0.011183635875699439,0.03587455541324322,0.027330113934030568,0.23011793081171078,0.011850626290775726,0.035206051219027194,0.0008597622596660852,1.1605003125342125e-06
Caractéristiques bâtiment - Surface totale (m²),3.528401365732351e-05,0.1295132511607196,0.018131025131266333,0.008249012003938353,0.005390744287794026,0.04328413005720016,0.002354184629041287,0.2649164999291082,0.0026159795651864433,0.05115591893159484,0.02608301123217494,0.017907755278489774,0.011308564745814584,0.2658158898664834,0.007147819771763791,0.012172583866794049,0.0393105911040586,0.02967438217274264,0.03882160124127884,0.027105483203480666,7.28880841305597e-06
Caractéristiques bâtiment - Nombre d’étages,0.00015008991943291937,0.06727745686303033,0.11519854442860247,0.0015592547771413928,0.024014222382679397,0.02708063306780655,0.13373665698909337,0.08651975464660741,0.006194774453600323,0.017937041092806034,0.06581815361044392,0.25509403595102936,0.006481134760770127,0.006023011455682997,3.0228162415718325e-05,0.007328944611254864,0.05206181533559024,0.029275099599322462,0.023857850012135026,0.07536009548120558,2.2034003503160794e-06
Caractéristiques bâtiment - Volume (m3),0.003248057378509396,0.002360883158935312,0.2914831734882662,0.0146167578604655,0.005499708703183606,0.01891601195382276,0.10183810548374889,0.04069635631485113,0.07129595274935742,0.008008709552320602,0.02168904998723706,0.002612811279878353,0.006946394015536714,0.00310102195642439,0.12617440630345678,0.10661975193877891,0.0031247072052460593,0.08355993969174406,0.009638689714613695,0.0795676284037222,2.8838609015424195e-06
Caractéristiques bâtiment - Hauteur (m),0.0014857627238921713,0.11713851883463797,0.01303833969791788,0.1931448909772607,0.008978139204448187,0.005548939902492628,0.001381826427199743,0.05641213871825699,1.8943553189616393e-05,0.08074537945899074,0.003395733504675407,0.1505481922502775,0.08111603475521947,0.002151061366243794,0.07493638816293861,0.06105088094450021,0.0672679771496408,0.0005385951985739752,0.019525436689152097,0.06257497172822342,2.8497532699169958e-06
Caractéristiques bâtiment - Indice de performance énergétique,0.0038114919101220873,0.09667262776183111,0.0026790117835531107,0.018889795189253267,0.00014873578823934567,0.16279890886883758,0.020213545404346146,0.0003050349297535336,0.041662759479114714,0.15895695684069294,0.10239239545006072,0.001812808713206734,0.1292036835241167,0.00015487602311427427,0.06395810248812517,0.08371178410811327,0.04200020358536057,0.055690760192602044,0.004143352433525297,0.011791365252872457,2.8012741597353357e-06
Caractéristiques bâtiment - Consommation énergétique annuelle (kWh),2.572697293409878e-05,0.025925885900334865,0.046773900464791636,0.04059411446357735,0.09157960336823942,0.04954477176248284,0.0030622077640135837,0.04973995201594746,0.3640474725689222,0.03418632080799729,0.0684781181475559,4.142164984506599e-07,3.7420903820017734e-05,0.0011049272534469424,0.004661387118877104,0.012137022973208752,0.02509304388570995,0.015112879141833516,0.1687018651860511,0.00019032071460816055,3.645370150612065e-06
Qualité / Sécurité - Nombre d’incidents,0.004824943386081848,0.098723565095186,0.0005013205196829267,0.08770792932397432,0.08724300864899244,0.00019692904551328708,0.20191087639943742,0.0022055792661814454,0.01254314050299025,0.0057508358535356885,0.03560977967489444,0.1600807213694011,0.07216776457072235,0.005190304867937637,0.05166527848808188,0.03487846017153594,0.0027750783878541163,0.002462039286281063,0.009431865962929036,0.12513155725497932,2.2924810064588986e-08
Qualité / Sécurité - Nombre d’accidents,0.000812518558307567,0.015069650646373446,0.11035679588776517,0.09968248722678304,0.030329435748628973,0.017646449581302563,0.13333626779458566,0.04969627814331066,0.06776137610589161,0.04207017007776638,0.003088511422750673,0.10155500562632033,0.14020459938680754,0.0003515457452209843,0.0031939159368020924,0.030905131671475853,0.03178094195755179,0.00808984599820263,0.012499529599104012,0.10256856991859657,1.973967451582267e-06
Environnement - Volume déchets produits (kg),0.00048133363669917035,0.008385605083243076,0.16301559293418352,0.003233439646105381,0.08225514886312715,0.02648776820716968,0.0007564621882584493,0.0786049199200747,0.0965104876756464,4.559470170467918e-05,0.1556497781192433,0.05753637002756229,0.0022123319153499674,0.011038563245428203,0.1365268269561541,0.012137486968809381,0.043110453709564754,0.1114472752944295,0.001400052688909979,0.010165141807038825,3.6741229876486366e-07
Environnement - Émissions CO2 (kg),0.0017202790707841593,0.0001262202989454816,0.039181748857972,0.0022880560143034114,0.31760321723172513,0.21294924690767172,0.0003812110356253851,0.00511354647841469,0.050584555231436575,0.00837832289605347,0.0036950617731370617,0.002203349579132276,0.02217047859502332,0.018112665639170033,0.11110480761081862,0.009945304072882133,0.009051000031787266,0.007059082947888983,0.1284477745569701,0.05088488870358153,1.8346767810389008e-07
Environnement - Consommation d’eau (m3),4.776596257972666e-05,0.11137402360580427,0.12402260544045197,0.0006801020330467679,0.004163688765218484,0.004713033340215767,3.0364636600479975e-05,0.11007426773204712,0.024241676661447904,0.09678330241487769,0.07179989490281256,0.07492452588075856,0.018247616289450416,0.13710559578656273,0.03700403086865269,0.04974209388133234,4.604479074506472e-05,0.09755519234316952,0.005750024635415811,0.03269270506470579,2.445965105635292e-06
Environnement - Niveau sonore (dB),0.0005370280399552403,0.18821658162383312,0.0053670615155702855,0.0009011275799607329,0.0070385456964548445,0.10254022373232043,0.0062913123963687905,0.0822227744118528,0.00037420454587891764,0.029356854518890585,0.023443641480686835,0.01596742071726714,0.18003374529257568,0.017421686297674287,0.15735734938252596,0.02995746310450444,0.007166541305145209,0.11996276620156468,0.00803003939892902,0.018814422689833535,2.110692089301966e-07
Données complémentaires - Note satisfaction client (sur une échelle quantitative),0.0002501304698762214,0.007511389387509169,0.0005405648817728343,0.38346732492198377,0.0037234812319181516,0.05209392589411782,0.012458218561740307,0.00011494808255224549,0.015366149638468966,0.002944961023820995,0.2240750750465762,0.00038773142946304265,0.0057547282034466464,0.00024667297526724226,0.007838879837354228,0.09631128096613303,0.05964607547338488,0.0006915714863828268,0.09907390563797862,0.028503526778831712,4.590724238575139e-07
